path,category,score,words,headings,bullets,codeblocks,objectif,prereq,procedure,validation,rollback,escalade,safety
IT-SHARED/10_RUNBOOKS/SECURITY/99_ARCHIVE/RUNBOOK__Alert_Response.md,SECURITY,8.25,830,28,18,16,True,False,False,True,False,True,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Patching_FULL_V2.md,MAINTENANCE,8.03,1810,36,15,34,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/MAINT_RB_Patching_FULL_V2.md,MAINTENANCE,8.03,1809,36,15,34,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__HyperV_Operations_And_Check_V1.md,INFRA,7.8,801,37,4,20,False,True,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_PendingReboot_OneByOne.md,MAINTENANCE,7.5,2834,71,8,4,True,False,False,True,True,False,True
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__DR_Plan_Validation_V1.md,NOC,7.5,840,16,0,16,True,True,False,True,True,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Vates_XCPng_Operations_V1.md,INFRA,7.5,807,38,8,30,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__VMware_vSphere_Operations_V1.md,INFRA,7.28,808,36,5,24,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/TEMPLATE__Server_Health_Check.md,INFRA,7.2,865,51,102,4,False,False,False,True,False,False,True
IT-SHARED/10_RUNBOOKS/INFRA/TEMPLATE__Server_Health_Check.md,INFRA,7.2,855,51,102,4,False,False,False,True,False,False,True
IT-SHARED/10_RUNBOOKS/00_POLICIES/GUARDRAILS__IT_AGENTS_MASTER.md,00_POLICIES,7.05,1752,26,2,20,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__Datto_Operations_V1.md,NOC,6.9,812,21,0,20,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_MSP_TICKET_TO_KB.md,SUPPORT,6.8,505,19,53,0,True,True,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__IT_MSP_TICKET_TO_KB.md,SUPPORT,6.8,505,19,53,0,True,True,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/99_ARCHIVE/RUNBOOK__IT_MSP_TICKET_TO_KB.md,SUPPORT,6.8,498,19,53,0,True,True,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Windows_Patching_CW_RMM_OneByOne.md,MAINTENANCE,6.75,1993,54,14,6,False,False,False,True,False,False,True
IT-SHARED/10_RUNBOOKS/SECURITY/SECURITY__RUNBOOK__Security_Audit.md,SECURITY,6.7,764,28,23,12,True,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RB__AD_User_Management_V1.md,INFRA,6.7,706,32,4,22,True,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/SECURITY/RUNBOOK__IT_SECURITY_INCIDENT_RESPONSE.md,SECURITY,6.7,575,27,48,4,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/SECURITY/SECURITY__RUNBOOK__IT_SECURITY_INCIDENT_RESPONSE.md,SECURITY,6.7,575,27,48,4,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/SECURITY/99_ARCHIVE/RUNBOOK__IT_SECURITY_INCIDENT_RESPONSE.md,SECURITY,6.7,570,27,48,4,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__RDS_Operations_V1.md,INFRA,6.67,887,49,5,22,False,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_SUPPORT_TRIAGE_N1N2N3_V1.md,SUPPORT,6.62,648,18,11,14,False,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__N2_Support_V1.md,SUPPORT,6.52,2158,53,3,88,False,True,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_INTERVENTION_LIVE.md,SUPPORT,6.45,735,11,48,1,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__INTERVENTION_LIVE.md,SUPPORT,6.45,735,11,48,1,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/SUPPORT/99_ARCHIVE/RUNBOOK__IT_INTERVENTION_LIVE.md,SUPPORT,6.45,730,11,48,1,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/SUPPORT/99_ARCHIVE/SUPPORT__RUNBOOK__INTERVENTION_LIVE.md,SUPPORT,6.45,730,11,48,1,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__CWRMM_Auvik_Operations_V1.md,NOC,6.4,678,18,0,22,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__INCIDENT_COMMAND_V1.md,NOC,6.17,148,8,17,0,True,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__Post_Shutdown_Electrical_Validation.md,INFRA,6.05,253,10,18,2,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Post_Shutdown_Electrical_Validation.md,MAINTENANCE,6.05,253,10,18,2,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/RUNBOOK__Post_Shutdown_Electrical_Validation.md,INFRA,6.05,248,10,18,2,True,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/RUNBOOK__PendingReboot_OneByOne.md,MAINTENANCE,6.05,221,9,10,4,True,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_BACKUP_DR_TEST_V1.md,INFRA,6.03,138,8,15,0,True,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__BACKUP_DR_TEST_V1.md,NOC,6.03,138,8,15,0,True,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/RUNBOOK__IT_BACKUP_DR_TEST_V1.md,INFRA,6.03,133,8,15,0,True,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__Veeam_Cloud_Operations_V1.md,NOC,6.02,518,12,3,14,False,False,True,False,True,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Patching_Process.md,MAINTENANCE,5.85,186,18,14,4,True,False,True,False,False,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/MAINT_RB_Patching_Process.md,MAINTENANCE,5.85,184,18,14,4,True,False,True,False,False,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/RUNBOOK__Patching_Process.md,MAINTENANCE,5.85,184,18,14,4,True,False,True,False,False,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT__RB__WSUS_Maintenance_V1.md,MAINTENANCE,5.8,794,24,0,18,False,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Unifi_Mikrotik_Operations_V1.md,INFRA,5.8,743,51,0,26,False,False,False,True,True,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Srv_Health_Chk_V1.md,MAINTENANCE,5.8,696,13,0,8,False,False,False,True,False,True,True
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__AD_DC_Operations_V1.md,INFRA,5.8,676,48,0,16,False,False,True,True,False,True,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__NAble_RMM_Operations_V1.md,NOC,5.8,480,12,0,14,False,False,False,True,False,True,True
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__VPN_Client_Troubleshooting_V1.md,SUPPORT,5.7,892,11,0,17,False,False,True,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__M365_Teams_SharePoint_OneDrive_V1.md,INFRA,5.7,823,31,0,20,False,False,True,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_MSP_CONNECTWISE_DISPATCH_V1.md,SUPPORT,5.7,261,9,23,0,True,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__MSP_CONNECTWISE_DISPATCH_V1.md,SUPPORT,5.7,261,9,23,0,True,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/99_ARCHIVE/RUNBOOK__IT_MSP_CONNECTWISE_DISPATCH_V1.md,SUPPORT,5.7,256,9,23,0,True,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__Backup_Configuration.md,INFRA,5.45,240,5,24,2,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__Backup_Configuration.md,NOC,5.45,240,5,24,2,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__NOC__RUNBOOK__Backup_Configuration.md,INFRA,5.45,236,5,24,2,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/RUNBOOK__Backup_Configuration.md,INFRA,5.45,236,5,24,2,False,False,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__SonicWall_Operations_V1.md,INFRA,5.42,549,13,3,16,False,False,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__OneDrive_SharePoint_Sync_V1.md,SUPPORT,5.2,725,18,0,21,False,False,True,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__WatchGuard_Operations_V1.md,INFRA,5.2,694,21,0,22,False,False,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Meraki_Operations_V1.md,INFRA,5.2,680,13,0,18,False,False,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__M365_Intune_Devices_V1.md,INFRA,5.2,640,14,0,20,False,False,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__Fortinet_Operations_V1.md,INFRA,5.2,631,37,0,20,False,False,False,True,False,True,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__Keepit_Operations_V1.md,NOC,5.2,495,12,0,16,False,False,False,False,True,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/RUNBOOK__Windows_Patching_CW_RMM_OneByOne.md,MAINTENANCE,4.67,616,8,9,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__Network_Setup.md,INFRA,4.65,211,6,14,2,False,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA_NOC_RUNBOOK__Network_Setup.md,INFRA,4.65,207,6,14,2,False,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT__RB__CMDB_Asset_Audit_V1.md,MAINTENANCE,4.6,680,23,0,18,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__M365_Exchange_Online_V1.md,INFRA,4.6,667,35,0,22,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__EntraID_Operations_V1.md,INFRA,4.6,644,35,0,18,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SECURITY/SECURITY__RUNBOOK__M365_Compliance_Purview_V1.md,SECURITY,4.6,593,19,0,14,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/RUNBOOK__IT_COMMANDARE_TECH.md,MAINTENANCE,4.42,210,6,11,2,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_COMMANDARE_TECH.md,SUPPORT,4.42,205,6,11,2,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__NOC_COMMAND_CENTER.md,NOC,4.1,161,6,12,0,False,False,False,False,False,True,True
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__M365_User_Onboarding.md,INFRA,4.1,157,6,20,0,False,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_M365_User_Onboarding.md,INFRA,4.1,153,6,20,0,False,False,False,True,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__CHECK_CLOUD_ARCHITECTURE_V1.md,INFRA,4.0,201,4,22,2,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_CLOUD_ARCHITECTURE_V1.md,INFRA,4.0,201,4,22,2,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_ASSET_LIFECYCLE_V1.md,INFRA,4.0,177,6,23,2,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/IT/RUNBOOK__IT_ASSET_LIFECYCLE_V1.md,IT,4.0,173,6,23,2,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/SUPPORT/SUPPORT__RUNBOOK__COMMANDARE_OPR.md,SUPPORT,3.62,158,6,7,6,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/RUNBOOK__IT_CLOUD_ARCHITECTURE_V1.md,INFRA,3.5,197,4,22,2,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__M365_User_Management.md,INFRA,3.4,180,6,12,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_M365_User_Management.md,INFRA,3.4,176,6,12,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_NETWORK_DIAGNOSTIC_V1.md,INFRA,3.2,188,7,6,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/NOC/NOC_RUNBOOK__IT_NETWORK_DIAGNOSTIC_V1.md,NOC,3.2,184,7,6,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__PrintServer_PrePost_Validation.md,INFRA,3.08,105,5,3,4,False,False,False,False,False,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_PrintServer_PrePost_Validation.md,MAINTENANCE,3.08,105,5,3,4,False,False,False,False,False,False,True
IT-SHARED/10_RUNBOOKS/INFRA/99_ARCHIVE/RUNBOOK__PrintServer_PrePost_Validation.md,INFRA,3.08,100,5,3,4,False,False,False,False,False,False,True
IT-SHARED/10_RUNBOOKS/SECURITY/RUNBOOK__IT_SECURITY_ALERT_TRIAGE_V1.md,SECURITY,3.02,192,5,9,0,False,False,False,False,False,True,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__DC_PrePost_Validation.md,INFRA,2.98,142,7,3,8,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/INFRA__RUNBOOK__DC_PrePost_Validation.md,INFRA,2.98,137,7,3,8,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_VOIP_DIAGNOSTIC_V1.md,INFRA,2.83,87,6,11,0,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__SQL_PrePost_Validation.md,INFRA,2.8,183,6,4,6,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__FRONTDOOR_v2.md,NOC,2.8,162,5,14,0,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/SECURITY/RUNBOOK__IT_SOFTWARE_LICENSE_AUDIT_V1.md,SECURITY,2.77,148,5,7,4,False,False,False,False,False,False,False
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK__DISPATCH.md,NOC,2.48,175,4,5,0,False,False,False,True,False,False,False
